Show,ep,treat,pret,post,diff,diff_diff
AD,1,1,2.1,0.67,-1.43,0
AD,2,1,2.1,0.61,-1.49,-0.06
AD,3,1,1.91,0.6,-1.31,0.18
AD,4,1,1.65,0.57,-1.08,0.23
AD,5,1,1.85,0.63,-1.22,-0.14
AD,6,1,1.73,0.6,-1.13,0.09
AD,7,1,2.13,0.59,-1.54,-0.41
AD,8,1,2.38,0.61,-1.77,-0.23
AD,9,1,2.54,0.57,-1.97,-0.2
AD,10,1,2.2,0.6,-1.6,0.37
AD,11,1,1.52,0.56,-0.96,0.64
AD,12,1,1.36,0.6,-0.76,0.2
AD,13,1,1.37,0.62,-0.75,0.01
AD,14,1,1.4,0.45,-0.95,-0.2
AD,15,1,1.19,0.55,-0.64,0.31
FG,1,0,2.6,4.6,2,2.64
FG,2,0,2.5,4.6,2.1,0.1
FG,3,0,2.47,1.9,-0.57,-2.67
FG,4,0,1.99,2.49,0.5,1.07
FG,5,0,2.25,1.83,-0.42,-0.92
FG,6,0,2.23,2.22,-0.01,0.41
FG,7,0,2.69,2.29,-0.4,-0.39
FG,8,0,3.04,2.84,-0.2,0.2
FG,9,0,3.07,2,-1.07,-0.87
FG,10,0,2.69,1.62,-1.07,0
FG,11,0,1.97,1.39,-0.58,0.49
FG,12,0,2.2,1.17,-1.03,-0.45
FG,13,0,2.35,2.07,-0.28,0.75
FG,14,0,2.24,1.67,-0.57,-0.29
FG,15,0,2.13,1.48,-0.65,-0.08
FG,16,0,2.26,1.65,-0.61,0.04
FG,17,0,2.12,1.6,-0.52,0.09
FG,18,0,2.06,1.7,-0.36,0.16
FG,19,0,2.25,1.3,-0.95,-0.59
